Disease,Accuracy,Precision,Recall,F1 Score
heart_disease,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356
diabetes,0.9215686274509803,1.0,0.8857142857142857,0.9393939393939394
kidney_disease,1.0,1.0,1.0,1.0
breast_cancer,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
liver_disease,0.7456140350877193,0.76,0.9382716049382716,0.8397790055248618
